title,jobId,currency,jobUploaded,companyName,tagsAndSkills,experience,salary,location,companyId,ReviewsCount,AggregateRating,jobDescription,minimumSalary,maximumSalary,minimumExperience,maximumExperience
Medical Representative,290825007631,INR,4 Days Ago,Emcure,"MR,Pharma Selling,Pharma Marketing,Pharmaceutical Sales,Selling,Pharmaceutical,Medical,Marketing",2-7 Yrs,1-4 Lacs PA,"Visakhapatnam, Hyderabad(HITEC City +3), Bengaluru(Koramangala)",16156,2207.0,3.7,"Eligibility Criteria: B Sc/ B Pharma/ B Com with 1 to 3 years of Pharma Experience in respective therapy.  . Age: Upto 30 years<br><br>Maintain good Relationship with Doctors,Chemist,Stockist and meeting sales goals",100000.0,400000.0,2.0,7.0
Human Resource Recruiter,290925024440,INR,4 Days Ago,The Career Next,"Recruitment,BPO Hiring,IT Recruitment,Non IT Recruitment,Executive Hiring,End To End Recruitment,Bpo Recruitment,Job Posting",0-5 Yrs,1-6 Lacs PA,Remote,5374286,,,Hiring for HR Recruiter profile,100000.0,600000.0,0.0,5.0
Java Full Stack Developer,230925930190,INR,10 Days Ago,Purview India Consulting And  Services  Llp,"Java,Hibernate / Jpa,Spring Boot,Fullstack Development,React.Js,Spring Mvc,Design Patterns,Github",6-11 Yrs,Not disclosed,Hybrid - Mawal,2941692,,,"<p><strong>Experience</strong>:- <strong><em>6yrs to 15yrs</em></strong></p><br /><p><strong>In this role, you will:-</strong></p><p><strong>(Principal Responsibilities)</strong></p><br /><ul><li>Ability to work under pressure and manage own time, ability to work on own or as part of a team.</li><li>Experience of working within multi-site teams, cultivates a collaborative and cooperative attitude across different work cultures</li><li>Working knowledge of Source code repository tool GitHub, Jenkins , Ansible </li><li>Excellent communication and interpersonal skills (written and spoken)  comfortable with detail.</li></ul><br /><p><strong>To be successful in this role, you should meet the following requirements:-</strong></p><p><strong>(Must have Requirements)</strong></p><br /><ul><li>Very Strong work experience of in <strong>Java, Spring , Spring boot microservices, Hibernate , Oracle</strong></li><li>Good to have Angular, <strong>React </strong>exp.</li><li>Working experience of all layers/tiers of the project from Front End development through Back End database design i.e. <strong>full stack developer</strong>.</li><li>Experience in all phases in the Development Life Cycle, very strong working experience and expertise of <strong>Java, Micro Services, Java based framework like Spring, Hibernate </strong>etc.</li><li>Experience of writing complex SQL queries with knowledge do SQL tuning.</li><li>Strong working experience and expertise of Application Servers like <strong>WAS / Tomcat / JBoss</strong> etc.</li><li>Very good understanding of <strong>architecture and design patterns</strong> used for Web Application Framework.</li><li>Experience with formal release procedures and source control.</li><li>Have fair understanding of Architecture and Design requirements for building Cloud Native      Application.</li></ul><br /><p><strong>The successful candidate will also meet the following requirements:-</strong></p><p><strong>(Good to have Requirements)</strong></p><br /><ul><li>Ability to prioritize work to successfully deliver service to agreed levels in a diverse and constantly changing environment.</li><li>Effectively co-ordinate delivery of services involving elements delivered by other      internal/external teams.</li><li>Strong customer focus, Excellent communication, and interpersonal skills.</li><li>Knowledge of Production Support processes and procedures.</li><li>Strong process implementation, experience of using IT systems & reporting tools, Ability to multi-task efficiently and as part of a Global virtual team across multiple regions.</li><li>Exposure / Knowledge of in Agile/DevOps environment.</li><li>Knowledge of Banking Domain, Familiarity with Incident / Problem / Change and Release Management procedures. </li></ul><br /><br />",0.0,0.0,6.0,11.0
Quality Engineer (Tester),230925916663,INR,10 Days Ago,Accenture,"software testing,performance testing,automation testing,load testing,testing methodologies,python,manual testing,test management tool",2-4 Yrs,Not disclosed,Bengaluru,27117,66727.0,3.7,"Minimum . 2 year(s) of experience is required. Educational Qualification : 15 years full time education. Summary :As a Quality Engineer,you will enable full stack solutions through multi-disciplinary team planning and ecosystem integration to accelerate delivery and drive quality across the application lifecycle<br><br>Skills:  - . Must To Have .",0.0,0.0,2.0,4.0
Lead Administrator,240925910193,INR,9 Days Ago,Wipro,"vmware,brocade,commvault,srdf,emc storage,kubernetes,python,data domain",5-8 Yrs,Not disclosed,Pune,1384,59857.0,3.7,"Experience in using Python API Development (FastAPI),Ansible / AAP,Docker,Kubernetes,Shell Scripting to be able to implement storage automation and as-a-service offerings",0.0,0.0,5.0,8.0
Full-Stack Developer- fresher,300925013487,INR,3 Days Ago,ti Steps,"CSS,Javascript,HTML,Node.Js,Framework,OOPS,Full Stack,Development",0-1 Yrs,2-3 Lacs PA,"Hyderabad, Chennai, Bengaluru",123572775,16.0,4.3,"As a fresher,you will work on both front-end and back-end development tasks under the guidance of senior developers. Key Responsibilities:  .",200000.0,300000.0,0.0,1.0
BPO Hiring For UK Voice Process - 25K Per Month GGN,31025002200,INR,Today,Smart Source,"B.COM,Intermediate,Graduate,Post,B.A.,BBA,BHM,BBM",0-4 Yrs,"50,000-3 Lacs PA",Gurgaon/Gurugram,1368656,,,"BPO Hiring For International UK Voice Process 25K Per Month - Gurugram

Grad/UG  Fresher - 18K
With Experience Any Domain 25K
No BE/Btech

24/7 
5 Day 
Cabs

Call Dipankar@ 9650094552 

Email CV@ jobsatsmartsource@gmail.com",50000.0,300000.0,0.0,4.0
Digital Content Management Sr Analyst,290925923771,INR,4 Days Ago,Accenture,"premiere pro,adobe creative suite,offset printing,animation,digital marketing,css,aftereffects,motion graphics",5-8 Yrs,Not disclosed,Mumbai,27117,66726.0,3.7,"Qualifications: Any Graduation <br><br> offer graphic solutions that support the project requirements or constraints.Creates a Visual Approach document as requested by a supervisor,including graphic proposals,animations and prototypes.Oversees and assists in issue resolution by utilizing all support resources available.  . Qualification . Any Graduation",0.0,0.0,5.0,8.0
Decision Maker,230925935873,INR,10 Days Ago,Eurofins,"customer relationship,consumer products,relationship management,decision making,crm,supply chain,quality control,training",4-6 Yrs,Not disclosed,Faridabad,891154,162.0,3.2,"Whether you are in the food,consumer products,healthcare,or cosmetics industries,we offer a full range of services including product inspection,auditing,certification,training,and consultation<br><br>Demonstrated knowledge of: the certification bodys procedures <br><br> Additional Information . Good at operating Analytical Tools",0.0,0.0,4.0,6.0
AV Technician,240925507013,INR,9 Days Ago,Lexicon Computers,"AV Technician,AV",1-4 Yrs,Not disclosed,"Bhopal, Mumbai, Hyderabad, New Delhi, Chennai, Bengaluru",4971476,4.0,1.0,Disclaimer : This job description has been sourced from a public domain and may have been modified by Naukri,0.0,0.0,1.0,4.0
Opportunity in Top MNC For Facility Management in Chandigarh location,250925036940,INR,8 Days Ago,Enrich And Enlight Business Consulting,"reports,Vendor Management,invoice processing,Facility Management,Vendor,Invoicing,Processing,Management",2-4 Yrs,Not disclosed,Chandigarh,575291,,,"Flexibility to work in 24x7 shifts <br><br> identify & minimize potential challenges and shortcomings to ensure maximum employee satisfaction<br><br>Ensure end to end Client / Compliance/Process / Certification Audits,BCP activities,Fire Drill <br><br>Minimum <br><br>Maximum <br><br> 3-4 years. minimum Relevant <br><br>Skills / Experience Required <br><br> Must haves. .",0.0,0.0,2.0,4.0
Senior Analytics Specialist,290925501865,INR,4 Days Ago,Swiss Re,"python,hypothesis testing,scikit-learn,data mining,business solutions,pyspark,machine learning,analysis",6-11 Yrs,Not disclosed,Bengaluru,1974684,307.0,3.9,"Minimum qualifications:  . Bachelors,Master s or PHD in Statistics,Mathematics,Data Science,Computer Science or a related quantitative field<br><br> . A drive to learn and master new technologies and techniques<br><br>Experience with data preprocessing,feature engineering,and data wrangling techniques",0.0,0.0,6.0,11.0
Chargebacks manager - Paypal & Stripe,31025012520,INR,Few Hours Ago,High Street Essentials,"Chargeback,Fraud Management,Dispute Management,Fraud,Management,Stripe",2-5 Yrs,4-6 Lacs PA,Noida,758225,147.0,3.8,Document cases and maintain accurate records of interactions in CRM tools.  . Identify patterns and report trends to senior management to improve customer experience.  . Escalate unresolved issues and coordinate with third-party payment providers,400000.0,600000.0,2.0,5.0
Office Executive at Jhansi (May 25),210225908269,INR,Today,Siddhast Intellectual Property Innovations,"Interpersonal Skills,Event Planning,Multitasking,Computer Skills,Verbal Communication,Office Coordination,Transport Operations,Office Assistance",0-5 Yrs,"90,000-1.75 Lacs PA",Jhansi,1038052,,,"responsible for entire Secretarial duties, manage files, and should have proper knowledge of Computer operation. with knowledge on writing letters, candidate should know to drive two wheeler, office timing 9:30 to 7:30candidate done there schooling from English medium school, having science background, knowledge on computers will be prefered",90000.0,175000.0,0.0,5.0
"Senior Manager, App Dev & Support",240925931505,INR,9 Days Ago,Conduent,"ms azure,linux support,azure devops,architecture styles,microsoft windows,continuous integration,kubernetes,redux",4-9 Yrs,Not disclosed,Bengaluru,6762,3018.0,3.4,"Experience with Platform as a Service (PaaS) offerings<br><br>MS Cloud Certified Architect<br><br>TOGAF certification<br><br>Proficient in Windows / Linux infrastructure,including load balancers and firewalls for deployment / debugging<br><br>Proficient in Azure DevOps<br><br>Proficient in RESTful API design,database management (SQL / NoSQL),and cloud-native architectures",0.0,0.0,4.0,9.0
PSA,260925501656,INR,7 Days Ago,Vision Beyond Resources India Private Limited,"Automation,SSRS,Debugging,Javascript,SDK,Microsoft Dynamics,SSIS,Troubleshooting",5-15 Yrs,Not disclosed,Bengaluru,125122003,,," . Must have 5+ years hands-on Microsoft Dynamics CRM development experience<br><br> . Should have working knowledge on SSIS,SSRS and integration using LogicApps,FunctionApps etc",0.0,0.0,5.0,15.0
Sales Strategist,100925036862,INR,2 Days Ago,Regalix,"international voice process,B2B Sales,International Sales,International Technical Support,International Customer Service,Voice process,Process,Sales",0-3 Yrs,Not disclosed,Hyderabad,717603,475.0,2.8,"Shift and schedule adherence<br><br>Should be flexible with any shifts<br><br>Any graduation/ Diploma (10+2+3) <br><br>Self-motivated: Inspiring,enthusiastic,and passionate about doing a good job<br><br>Decision Making: Making good decisions in a timely and confident manner<br><br>3 yrs experience in Sales role<br><br>Inside Sales Experience",0.0,0.0,0.0,3.0
Application Designer,290925906428,INR,4 Days Ago,Accenture,"pyspark,distributed computing,python,data processing,aws,algorithms,kubernetes,c++",2-5 Yrs,Not disclosed,Bengaluru,27117,66726.0,3.7,"Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years full time education. Summary :As an Application Designer,you will assist in defining requirements and designing applications to meet business process and application requirements<br><br>Skills:  - . Must To Have . <br><br>Skills: Proficiency in PySpark.- Good To Have .",0.0,0.0,2.0,5.0
Assistant Regional Manager - GL North West,260925918138,INR,7 Days Ago,Bajaj Finance,"User Stories,Product Management,UX,Financial Services,Finance,Documentation,Tools,Science",3-6 Yrs,Not disclosed,"Indore, Vijaynagar",122,8015.0,3.9,"Bachelors in Engineering,Computer Science,related disciplines or equivalent experience in technical roles<br><br>Experience writing documentation of functional requirements for getting them developed from IT<br><br>Guide team member / s to deliver quality outputExperience / Skills Required <br><br>Candidates with MBA will be preferred <br><br>Should have excellent communication skills",0.0,0.0,3.0,6.0
"Looking For Inside Sales Executive (Female), Bangalore",250925031490,INR,8 Days Ago,Artech,"Inside Sales,customer relationship Management,Lead Generation,Telesales,Cold Calling,Prospecting,B2B Sales,Telemarketing",1-5 Yrs,2.5-5 Lacs PA,Bengaluru(Electronics City Phase 1),1128,,," We are looking for a proactive and dynamic Inside Sales Executive (Female) with at least 1 year of proven experience in sales or business development<br><br>The ideal candidate should have excellent communication skills,a target-driven mindset,and the ability to convert leads into long-term business relationships",250000.0,500000.0,1.0,5.0
Python + Django Software Engineer,260925025868,INR,7 Days Ago,Shades Of Web,"Django Rest Api,Django,Postgresql,Database Management,Python Development,Celery,Rest Api Development,Database Design",2-3 Yrs,Not disclosed,Remote,4212576,17.0,4.3,You will work closely with the Design and Product team and help bridge the gap between User experience design and technical implementation. <br><br>Experience with PostgreSQL database design and query optimisation<br><br>Willingness to work hard,0.0,0.0,2.0,3.0
Restaurant General Manager/Assistant Restaurant General Manager,110124008279,INR,9 Days Ago,Epiphany Hospitality,"Team Handling,Inventory Management,Staff Management,Restaurant Management,Customer Handling,Handling,Restaurant,Inventory",4-9 Yrs,3-7 Lacs PA,Bengaluru,7007585,2.0,4.0,A Bachelors degree or equivalent in Hospitality Management or related field is preferred<br><br>Preferred candidate profile <br><br>Previous experience as a Restaurant Manager in a fast-paced and high-volume environment is preferred,300000.0,700000.0,4.0,9.0
Awareness Campaign Volunteer,250925500488,INR,8 Days Ago,Connectfor,"msw,counselling,ngoss,content writing,teaching,social work,communication skills,social service",0-3 Yrs,Not disclosed,Bengaluru,124796237,2.0,3.4,"30 Jun, 2026 <br /> Bengaluru <br /> 50 Volunteers Required <br /> Rejected by CF (View Reason) <br /> Children <br /> 1 Years <br /> Bengaluru <br /> Connection Status: NA <br /> Rejected by CF (View Reason) <br /> You contributed hours and helped to save for this opportunity till <br /> Call (NGO) <br /> Mark Attendance <br /> Cancel Request

i",0.0,0.0,0.0,3.0
Scientist - R & D (Synthesis - Polymers),31025011704,INR,Few Hours Ago,Atul,"Organic Synthesis,Scale Up,Process Development,Technology transfer,Transfer,Technology,R And D,Process",4-9 Yrs,Not disclosed,Valsad,32242,1212.0,3.9,Experience - MSc (5 to 10 yrs) <br><br> PhD (2 to 4 yrs) . <br><br>Experience in Scale up <br><br> Technology transfer and plant trouble shooting,0.0,0.0,4.0,9.0
Tally Accountant,300925024554,INR,3 Days Ago,Tssind Industries,"Tally Software,English,Tally ERP,Marathi,Hindi,Tally Prime,Tally,Software",1-4 Yrs,1.8-3 Lacs PA,Pune(Hinjewadi),124040134,,,<p>Responsibilities:</p><p>* Maintain accurate financial records using Tally software.</p><p>* Ensure compliance with accounting standards and regulatory requirements.</p><p>* Prepare monthly reports and manage budgets.</p>,180000.0,300000.0,1.0,4.0
Application Developer,300925915553,INR,3 Days Ago,Accenture,"sap,development methodologies,application development,design principles,sap vendor invoice management,joining formalities,screening,hr generalist activities",2-5 Yrs,Not disclosed,Bengaluru,27117,66726.0,3.7,"Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years full time education<br><br>Skills:  - . Must To Have <br><br> . Project Role Description : Design,build and configure applications to meet business process and application requirements. Must have skills : SAP Vendor Invoice Management. Good to have skills : NA",0.0,0.0,2.0,5.0
Principal Data Engineer,230925500653,INR,10 Days Ago,Blackbaud,"Career development,Data modeling,data governance,System design,Data processing,SSIS,microsoft,Software solutions",8-13 Yrs,Not disclosed,Hyderabad,5711066,22.0,2.0,"<p>The Principal Data Engineer sets the technical direction that assists engineers and data engineers to take on large, complex data problems/initiatives. This role has considerable technical influence within the Data and Software Engineering teams at JustGiving. This individual acts as an evangelist for proper data strategy with other teams at JustGiving. </p> <p> <b>What you ll do: </b> </p> <ul> <li>Maintain and assess a legacy SQL Server-based Kimball-style data warehouse, identifying opportunities for modernization and optimization.</li> <li>Design and build scalable data pipelines and ETL/ELT processes using modern tools and frameworks.</li> <li>Collaborate with peers to define and evolve reusable tools and pipeline patterns that support efficient and consistent data transformation.</li> <li>Partner with product managers, data analysts, and engineering teams to design technical solutions that solve real customer problems.</li> <li>Contribute to the development and implementation of data governance practices, ensuring data sovereignty, privacy, security, and regulatory compliance.</li> <li>Monitor and troubleshoot data workflows to ensure high availability, reliability, and performance.</li> <li>Develop and maintain unit and integration tests for data pipelines to ensure reliability and correctness.</li> <li>Champion a culture of documentation to support maintainability, onboarding, and cross-team collaboration.</li> <li>Continuously challenge the status quo and advocate for improvements in data architecture and engineering practices.</li> <li>Stay current with advancements in distributed computing, data architecture, and emerging technologies.</li> </ul> <p> </p> <p> <b>What you ll bring: </b> </p> <ul> <li>8+ years of experience in data engineering or a related field.</li> <li>Hands-on experience with Spark-based platforms such as Microsoft Fabric or Databricks.</li> <li>Solid understanding of distributed system design patterns and experience contributing to their implementation in production environments.</li> <li>Strong SQL skills and experience with dimensional data modeling (Kimball, star/snowflake schemas).</li> <li>Familiarity with the Microsoft BI stack: SSIS, SSAS, Power BI.</li> <li>Knowledge of data governance, security, and compliance best practices.</li> <li>Proven experience with both batch and real-time data processing architectures and tools.</li> <li>Experience to DevOps practices in a data engineering context.</li> <li>Comfort working independently in ambiguous environments.</li> <li>A track record of delivering high-quality, secure, and operable software solutions.</li> <li>Flexibility to work hours aligned with business priorities when needed.</li> </ul> <p> </p> <p>Stay up to date on everything Blackbaud, follow us on  Linkedin ,  X ,  Instagram ,  Facebook  and  YouTube   </p> <p> </p> <p>Blackbaud is a digital-first company which embraces a flexible remote or hybrid work culture.  Blackbaud supports hiring and career development for all roles from the location you are in today!</p> <p> </p> <p>Blackbaud is proud to be an equal opportunity employer and is committed to maintaining an inclusive work environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, physical or mental disability, age, or veteran status or any other basis protected by federal, state, or local law.</p>",0.0,0.0,8.0,13.0
Field Travel Sales - Delhi /Noida /Gurgram /Jaipur/ Jodhpur/Ahmedabad,290925001987,INR,4 Days Ago,Capital Placement Services,"travel sales,sales,Field Sales,customer service,Field Marketing,international ticketing,tourism,Travel Agency",1-6 Yrs,3-6 Lacs PA,"Ahmedabad, Delhi / NCR, Rajasthan",79647,,,"Identify and visit potential corporates, retailers, and RMNs for business tie-ups
Pitch company travel services (holidays, flights, hotels, visas) and onboard new partners
Build strong B2B relationships to generate consistent business opportunitiesField Travel Sales Location: Delhi / Noida / Gurgram / Jaipur / Jodhpur / Jaisalmer / Pushkar/ Ahmedabad / Rajkot / Mumbai 


capitalplacement02@gmail.com
P- 9891750342 | WhatsApp- 7895263093",300000.0,600000.0,1.0,6.0
EM dotnet,260925501876,INR,7 Days Ago,Vision Beyond Resources India Private Limited,"Unix,Cloud computing,Linux,Coding,Postgresql,Debugging,Application development,SDLC",3-6 Yrs,Not disclosed,Bengaluru,125122003,,,"Extensive experience in software development,system design,and cloud-based applications .  . Strong knowledge of SQL,PostgreSQL,with exposure to BigQuery,Redis,Elasticsearch .  . Hands-on experience with microservices,event-driven architecture,and DevOps practices .  . <br><br>Proven expertise in GCP (preferred) or Azure cloud platforms",0.0,0.0,3.0,6.0
